Matvare ID,Matvare,Spiselig del (%),Vann (g),Kilojoule (kJ),Kilokalorier (kcal),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Alkohol (g),Vitamin A (RAE) (µg-RE),Vitamin A (RE) (µg),Betakaroten (µg),Retinol (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Kalium (K) (mg),Natrium (Na) (mg),Salt (NaCl) (g),Fosfor (P) (mg),Magnesium (Mg) (mg),Jern (Fe) (mg),Kobber (Cu) (mg),Sink (Zn) (mg),Selen (Se) (µg),Jod (I) (µg)
Meieriprodukter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.228,"Makrell, august - desember, stekt i fett",,53.0,1286.0,310.0,24.7,5.3,0.1,1.3,2.9,0.7,0.0,9.4,0.7,4.3,7.1,1.0,0.4,0.0,0.0,0.2,0.1,1.5,0.3,2.4,5.8,1.1,88.0,3.2,3.2,0.0,0.0,0.0,0.2,18.5,0.0,21.0,21.0,6.0,20.0,5.3,0.5,0.1,0.28,8.1,12.7,0.53,14.0,7.8,0.0,16.0,325.0,55.0,0.1,207.0,26.0,0.8,0.09,0.7,58.0,24.0
04.229,"Makrell, februar - juni, kokt",,82.0,347.0,82.0,1.6,0.6,0.0,0.1,0.4,0.1,0.0,0.9,0.1,0.2,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,1.0,5.8,0.5,0.1,0.3,7.8,15.3,0.67,9.0,10.5,0.0,23.0,402.0,75.0,0.2,263.0,29.0,0.9,0.09,0.7,55.0,25.0
04.022,"Makrell, februar - juni, rå",50.0,79.0,393.0,93.0,1.9,0.8,0.0,0.1,0.5,0.1,0.0,1.0,0.1,0.3,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.8,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,1.0,0.0,1.0,7.0,0.6,0.11,0.36,9.4,12.9,0.8,11.0,11.0,0.0,19.0,450.0,74.0,0.2,260.0,29.0,0.9,0.08,0.6,51.0,23.0
04.230,"Makrell, februar - juni, stekt i fett",,71.0,613.0,146.0,5.8,1.9,0.1,0.2,0.9,0.3,0.0,2.7,0.1,2.0,1.7,0.7,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.5,1.0,0.8,2.0,3.2,3.2,0.0,0.0,0.0,0.2,20.1,0.0,14.0,14.0,6.0,13.0,6.4,0.7,0.11,0.35,9.2,14.1,0.7,10.0,10.7,0.0,22.0,423.0,83.0,0.2,259.0,30.0,0.9,0.09,0.7,55.0,25.0
04.311,"Makrell, kaldrøkt",80.0,63.0,1005.0,242.0,18.8,3.8,0.0,1.3,2.0,0.3,0.0,7.3,0.1,1.8,5.4,0.3,0.3,0.0,0.0,0.2,0.1,1.2,0.2,2.0,5.0,0.4,51.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,21.0,21.0,0.0,21.0,4.0,0.7,0.1,0.4,4.7,8.0,0.28,5.0,8.8,0.0,27.0,104.0,2125.0,5.3,161.0,19.0,0.4,0.06,0.4,28.0,20.0
04.024,"Makrell, varmrøkt",80.0,56.0,1223.0,295.0,24.1,4.9,0.0,1.6,2.7,0.5,0.0,9.4,0.7,2.6,6.8,0.3,0.4,0.0,0.0,0.3,0.1,1.5,0.3,2.7,6.3,0.5,64.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,13.0,13.0,0.0,13.0,4.5,0.8,0.18,0.47,8.5,12.1,0.28,6.0,11.9,0.0,15.0,266.0,807.0,2.0,226.0,28.0,0.6,0.09,0.6,35.0,20.0
04.344,"Pangasius, rå",,86.0,265.0,63.0,1.1,0.3,0.0,0.0,0.2,0.1,0.0,0.3,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.03,2.0,4.4,0.12,8.0,0.4,0.0,9.0,235.0,318.0,0.8,208.0,20.0,0.1,0.01,0.3,13.0,2.0
04.111,"Pigghå, håbrann, rå",,76.0,541.0,129.0,6.4,1.2,0.0,0.1,0.8,0.1,0.0,2.2,0.2,1.0,2.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.9,1.6,0.2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,9.1,2.0,0.17,0.14,5.2,8.5,0.5,3.0,2.0,0.0,6.0,289.0,100.0,0.3,220.0,18.0,0.3,0.0,0.3,20.0,42.0
04.112,"Piggvar, rå",50.0,82.0,359.0,85.0,2.4,0.5,0.0,0.1,0.3,0.1,0.0,0.7,0.2,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.2,0.7,0.1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,4.0,4.0,0.0,4.0,1.7,0.6,0.04,0.08,6.1,9.0,0.3,16.0,0.8,0.0,16.0,290.0,73.0,0.2,160.0,19.0,0.2,0.0,0.6,30.0,35.0
04.379,Plukkfisk,100.0,82.0,393.0,94.0,5.2,3.1,0.1,0.5,1.4,0.5,0.1,1.2,0.1,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,36.0,5.2,2.9,2.4,0.0,0.0,1.0,6.0,0.0,61.0,81.0,251.0,40.0,0.7,0.5,0.04,0.06,0.7,3.1,0.07,10.0,0.5,2.0,49.0,235.0,299.0,0.7,116.0,17.0,0.3,0.04,0.4,9.0,83.0
